*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Motherboard_PCB1_129990
*Date=11:59:23
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
193;;;78.5984;-132.97;0;Top;TXT2
194;;;86.1133;-105.893;0;Bottom;TXT16
195;;;140.476;-14.4066;-90;Top;TXT2
196;;;23.1769;-127.247;0;Bottom;TXT16
197;;THT;67.9619;-122.474;180;Bottom;J13
198;;;206.252;-133.772;7.95139e-16;Bottom;TXT16
199;;THT;174.247;-42.464;90;Bottom;J74
200;;THT;86.6165;-122.474;180;Bottom;J11
201;;;53.5435;-79.7204;0;Top;TXT2
202;;THT;175.517;-60.244;-90;Bottom;J7
203;;;23.2804;-105.442;0;Top;TXT2
204;;;66.2965;-113.584;0;Bottom;Via31
205;;;19.2282;-86.5013;-90;Top;TXT2
